k,iter,tolerance,numReducers,inputPath,executionTime
4,6,1.0E-4,3,inputs/input_100000x2_4.txt,109
25,100,1.0E-4,3,inputs/input_100000x2_25.txt,1813
10,14,1.0E-4,3,inputs/input_1000000x2_10.txt,299
4,3,1.0E-4,3,inputs/input_100000x5_4.txt,56
50,100,1.0E-4,3,inputs/input_100000x2_50.txt,1806
50,72,1.0E-4,3,inputs/input_100000x10_50.txt,1438
4,3,1.0E-4,3,inputs/input_1000x10_4.txt,54
10,8,1.0E-4,3,inputs/input_1000x2_10.txt,144
10,100,1.0E-4,3,inputs/input_100000x10_10.txt,1925
50,100,1.0E-4,3,inputs/input_1000000x2_50.txt,2302
4,56,1.0E-4,3,inputs/input_100000x10_4.txt,1057
50,23,1.0E-4,3,inputs/input_1000x2_50.txt,406
25,79,1.0E-4,3,inputs/input_100000x5_25.txt,1440
50,6,1.0E-4,3,inputs/input_1000x10_50.txt,106
50,58,1.0E-4,3,inputs/input_100000x5_50.txt,1089
4,5,1.0E-4,3,inputs/input_1000x2_4.txt,91
4,22,1.0E-4,3,inputs/input_1000000x2_4.txt,469
10,13,1.0E-4,3,inputs/input_100000x5_10.txt,237
